id,loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,zip_code,addr_state,DTI Ratio %,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,installment,default_risk,loan_status,credit_score_bucket,credit_score_range,monthly_income,payment_to_income_ratio (%)
1000000,16795, 36 months,7.74,A,A1,Manager,9 years,MORTGAGE,131404.39463262007,Verified,Sep-2018,debt_consolidation,debt_consolidation,699xx,WV,10.811947756864685,Nov-2007,684,688,1,13,0,42995,5.874613956128416,17,Whole Funded,Individual,9,0,524.28,1,Charged Off,Good,4,10950.366219385005,4.787785079478781
1000001,1860, 36 months,15.22,D,D1,Driver,,RENT,22870.05418012089,Source Verified,Dec-2015,car,car,340xx,MA,24.649364486096733,Apr-1994,688,692,1,6,0,28074,43.39684747545781,7,Whole Funded,Individual,5,0,64.68,0,Fully Paid,Good,4,1905.8378483434074,3.3937829525329852
1000002,39158, 60 months,6.14,A,A3,Project Manager,1 year,MORTGAGE,25967.291217252656,Not Verified,Oct-2016,debt_consolidation,debt_consolidation,589xx,MS,3.21348627479924,Jan-1991,684,688,3,11,0,23455,86.22095080824914,22,Whole Funded,Individual,1,0,759.59,0,Fully Paid,Good,4,2163.940934771055,35.10215957351742
1000003,12284, 60 months,9.13,B,B2,Director,8 years,MORTGAGE,43110.81264835632,Verified,Jul-2017,debt_consolidation,debt_consolidation,596xx,VT,7.321629086370494,Oct-2007,661,665,0,12,0,84,92.2106771243813,31,Whole Funded,Individual,5,1,255.77,0,Fully Paid,Fair,4,3592.5677206963596,7.119420422516718
1000004,7265, 60 months,6.8,A,A2,RN,4 years,MORTGAGE,24490.66366326212,Source Verified,Jul-2018,debt_consolidation,debt_consolidation,788xx,CT,8.016681729178226,Mar-2005,832,836,0,10,0,13841,43.54865419598289,14,Whole Funded,Individual,0,0,143.17,0,Fully Paid,Excellent,4,2040.8886386051765,7.015081435205009
1000005,17850, 36 months,13.08,C,C2,Teacher,2 years,MORTGAGE,47400.66168974094,Not Verified,Oct-2018,credit_card,credit_card,878xx,WA,26.82810042283926,Aug-2008,849,853,0,9,0,46875,9.620998082887931,19,Whole Funded,Individual,1,0,602.13,0,Fully Paid,Excellent,4,3950.055140811745,15.24358467249804
1000006,38194, 60 months,21.42,E,E1,Project Manager,7 years,RENT,75255.81784046194,Verified,Sep-2017,credit_card,credit_card,203xx,GA,13.846874924440712,Apr-2010,694,698,0,10,0,12381,6.529754637038887,21,Fractional Funded,Individual,2,0,1042.32,1,Charged Off,Good,4,6271.318153371828,16.62042930224466
1000007,22962, 36 months,16.54,D,D5,Supervisor,8 years,RENT,92965.05243995551,Source Verified,Feb-2015,debt_consolidation,debt_consolidation,109xx,FL,11.01023106057812,Jan-1998,742,746,1,13,1,35729,11.502843654274752,18,Whole Funded,Joint App,7,0,813.41,0,Fully Paid,Very Good,4,7747.0877033296265,10.499558429555456
1000008,17023, 60 months,9.45,B,B1,Driver,< 1 year,RENT,82964.92706991681,Verified,Oct-2016,debt_consolidation,debt_consolidation,162xx,WI,1.163629058022022,Feb-1992,820,824,0,10,0,37319,89.30981997609129,18,Whole Funded,Individual,1,0,357.1,0,Fully Paid,Excellent,4,6913.743922493068,5.165074148005633
1000009,2685, 36 months,5.8,A,A5,,4 years,RENT,54845.57000202459,Verified,Jun-2016,debt_consolidation,debt_consolidation,372xx,WA,3.774101275576216,Nov-2007,814,818,4,12,0,26779,52.82393882553335,28,Fractional Funded,Individual,5,1,81.44,0,Fully Paid,Excellent,4,4570.4641668353825,1.781875910787187
